RUBRO_KEY;SUB_RUBRO_AGRUPADO;RUBRO_AGRUPADO;Columna1;Columna2;Columna3;AGRUPADO_NUEVO;AGRUPACION IC
2079;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2080;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2081;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2082;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2083;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;EDUCACION
2084;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2085;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2086;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2087;TELEFONIA;PAGO_DE_SERVICIOS;TELEFONIA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
2088;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2089;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2090;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;PAGO PUNTUAL TELEFONICO;PAGO_DE_SERVICIOS;1;OTROS;OTROS
2091;AUTOMOVIL;PAGO_DE_SERVICIOS;AUTOMOVIL;PAGO_DE_SERVICIOS;1;AUTOMOVIL;AUTOMOVIL
